"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"        15 to 17 years","12,889,699","±4,149","3.9%","±0.1","6,595,645","±4,260","4.0%","±0.1","6,294,054","±3,999","3.8%","±0.1"
"        Under 18 years","74,234,075","±4,255","22.5%","±0.1","37,991,444","±6,261","23.3%","±0.1","36,242,631","±6,272","21.8%","±0.1"
"        18 to 24 years","30,339,089","±8,929","9.2%","±0.1","15,499,748","±5,446","9.5%","±0.1","14,839,341","±5,548","8.9%","±0.1"
"        15 to 44 years","131,031,613","±9,309","39.7%","±0.1","66,382,439","±7,462","40.7%","±0.1","64,649,174","±7,335","38.8%","±0.1"
"        16 years and over","264,087,642","±15,794","80.1%","±0.1","129,617,093","±11,857","79.4%","±0.1","134,470,549","±11,999","80.8%","±0.1"
"        18 years and over","255,491,406","±4,077","77.5%","±0.1","125,215,171","±4,770","76.7%","±0.1","130,276,235","±4,818","78.2%","±0.1"
"        21 years and over","242,273,261","±23,211","73.5%","±0.1","118,449,307","±13,832","72.6%","±0.1","123,823,954","±13,920","74.4%","±0.1"
"        60 years and over","73,789,098","±28,202","22.4%","±0.1","33,900,177","±17,704","20.8%","±0.1","39,888,921","±20,077","24.0%","±0.1"
"        62 years and over","65,041,939","±26,777","19.7%","±0.1","29,633,687","±17,964","18.2%","±0.1","35,408,252","±18,718","21.3%","±0.1"
"        65 years and over","52,888,621","±4,019","16.0%","±0.1","23,762,420","±3,446","14.6%","±0.1","29,126,201","±3,432","17.5%","±0.1"
"        75 years and over","21,298,002","±4,480","6.5%","±0.1","8,875,409","±2,984","5.4%","±0.1","12,422,593","±3,184","7.5%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.4","±0.1","(X)","(X)","37.3","±0.1","(X)","(X)","39.5","±0.1","(X)","(X)"
"        Sex ratio (males per 100 females)","98.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","62.7","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","26.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
